iter	Passed	Remaining
0	0	26
1	0	22
2	0	20
3	0	18
4	1	19
5	1	19
6	1	18
7	1	18
8	1	17
9	1	17
10	2	17
11	2	16
12	2	16
13	2	16
14	2	15
15	2	15
16	3	15
17	3	14
18	3	14
19	3	14
20	3	14
21	3	13
22	4	13
23	4	13
24	4	13
25	4	13
26	4	13
27	4	12
28	5	12
29	5	12
30	5	12
31	5	11
32	5	11
33	5	11
34	6	11
35	6	11
36	6	10
37	6	10
38	6	10
39	6	10
40	7	10
41	7	9
42	7	9
43	7	9
44	7	9
45	7	9
46	7	8
47	8	8
48	8	8
49	8	8
50	8	8
51	8	8
52	8	7
53	9	7
54	9	7
55	9	7
56	9	7
57	9	6
58	9	6
59	9	6
60	10	6
61	10	6
62	10	6
63	10	5
64	10	5
65	10	5
66	11	5
67	11	5
68	11	5
69	11	4
70	11	4
71	11	4
72	11	4
73	12	4
74	12	4
75	12	3
76	12	3
77	12	3
78	12	3
79	13	3
80	13	3
81	13	2
82	13	2
83	13	2
84	13	2
85	14	2
86	14	2
87	14	1
88	14	1
89	14	1
90	14	1
91	15	1
92	15	1
93	15	0
94	15	0
95	15	0
96	15	0
97	16	0
98	16	0
99	16	0
