iter	Passed	Remaining
0	50	50092
1	50	25248
2	50	16944
3	51	12746
4	51	10228
5	51	8545
6	52	7453
7	52	6540
8	52	5829
9	53	5259
10	53	4793
11	53	4406
12	53	4078
13	53	3796
14	54	3552
15	54	3338
16	54	3149
17	54	2981
18	54	2831
19	55	2696
20	56	2621
21	56	2509
22	56	2405
23	56	2311
24	57	2224
25	57	2143
26	57	2069
27	57	1999
28	57	1934
29	57	1874
30	58	1818
31	58	1765
32	58	1715
33	58	1669
34	58	1624
35	59	1583
36	59	1543
37	59	1506
38	59	1471
39	59	1437
40	60	1405
41	60	1374
42	60	1345
43	60	1317
44	60	1291
45	61	1266
46	61	1241
47	61	1218
48	61	1196
49	61	1174
50	62	1154
51	62	1134
52	62	1114
53	62	1096
54	62	1078
55	62	1061
56	63	1044
57	63	1029
58	63	1013
59	63	998
60	63	984
61	64	970
62	64	956
63	64	943
64	64	930
65	64	918
66	65	906
67	65	894
68	65	883
69	65	872
70	65	861
71	66	850
72	66	840
73	66	830
74	66	821
75	66	811
76	66	802
77	67	793
78	67	785
79	67	776
80	67	768
81	67	760
82	67	751
83	68	743
84	68	736
85	68	728
86	68	721
87	68	714
88	69	707
89	69	700
90	69	694
91	69	687
92	69	681
93	70	675
94	70	669
95	70	663
96	70	657
97	70	651
98	71	646
99	71	640
100	71	635
101	71	630
102	71	625
103	71	619
104	72	614
105	72	610
106	72	605
107	72	600
108	72	595
109	73	591
110	73	586
111	73	582
112	73	577
113	73	573
114	73	569
115	74	565
116	74	560
117	74	557
118	74	553
119	74	549
120	75	545
121	75	541
122	75	537
123	75	534
124	75	530
125	75	527
126	76	523
127	76	520
128	76	516
129	76	513
130	76	510
131	77	507
132	77	503
133	77	500
134	77	497
135	77	494
136	78	491
137	78	488
138	78	485
139	78	482
140	78	480
141	78	476
142	79	474
143	79	471
144	79	468
145	79	466
146	79	463
147	80	460
148	80	458
149	80	455
150	80	453
151	80	450
152	81	448
153	81	446
154	81	443
155	81	441
156	81	439
157	81	436
158	82	434
159	82	432
160	82	429
161	82	427
162	82	425
163	83	423
164	83	421
165	83	419
166	83	417
167	83	415
168	84	413
169	84	411
170	84	409
171	84	407
172	84	405
173	84	403
174	85	401
175	85	399
176	85	397
177	85	395
178	85	393
179	86	392
180	86	390
181	86	388
182	86	386
183	86	385
184	87	383
185	87	381
186	87	379
187	87	378
188	87	376
189	87	374
190	88	373
191	88	371
192	88	369
193	88	368
194	88	366
195	89	365
196	89	363
197	89	362
198	89	360
199	90	360
200	90	359
201	90	357
202	90	356
203	90	355
204	91	353
205	91	352
206	91	350
207	91	349
208	92	351
209	93	350
210	93	349
211	93	347
212	93	346
213	93	345
